cluster_id,representative_blog_id,predicted_blogs,ground_truth_blogs,predicted_count,ground_truth_count
1,19,19;309;99;284;285;161,19;99;110,6,3
2,18,18;148;273;291;93;40,18;93;148,6,3
3,53,53;112;161;17;51;65,53;112;161,6,3
4,109,109;223;40;233;234;255,109;136;191,6,3
5,90,90;201;147;267,90;147;201,4,3
6,142,142;196;255,142;196;202,3,3
7,17,17;89;51;65;105;148,17;89;51,6,3
8,20,20;111;203;279;202;223,20;111;203,6,3
9,175,175;239;234;245;309;192,175;4;192,6,3
10,0,0;184;101;105;136;234,0;71;184,6,3
11,176,176;193;45;40;136;191,176;193;45,6,3
12,108,108;101,108;150;78,2,3
13,75,75;45;71;109;132;187,75;187;40,6,3
14,2,2;157;281;78;110;132,2;101;157,6,3
15,39,39;105,39;65;105,2,3
16,185,185;304;310;192;17;65,185;132;73,6,3
17,306,306;292;236;319;300;313,306;313;292,6,3
18,281,281;2;78;110;132;196,281;314;279,6,3
19,286,286;280;299;53,286;299;280,4,3
20,318,318;288;2;17;65;78,318;288;316,6,3
21,284,284;99;285;19;309;17,284;309;285,6,3
22,317,317;291;301;302;65;235,317;301;291,6,3
23,303,303;193;237;290;305;45,303;290;305,6,3
24,319,319;300;20;111;202;203,319;300;311,6,3
25,283,283;242;235;17;65;105,283;287;295,6,3
26,293,293;297;287;295;300;236,293;297;282,6,3
27,320,320;296;236;289;20;111,320;289;296,6,3
28,312,312;17;45;65;71;105,312;304;310,6,3
29,302,302;294;317;2;17;65,302;294;315,6,3
30,308,308;298,308;307;298,2,3
31,249,249;260;232;40;136;176,249;232;260,6,3
32,273,273;298;0;18;40;101,273;231;268,6,3
33,274,274;222;227;250;261;290,274;252;244,6,3
34,265,265;238;226;18;40;78,265;238;226,6,3
35,227,227;243;241;147;247;251,227;241;243,6,3
36,233,233;264;259;40;78;109,233;259;264,6,3
37,240,240;222;287,240;222;271,3,3
38,267,267;235;259;265;147;201,267;242;235,6,3
39,272,272,272;224;263,1,3
40,247,247;228;266;235;317;136,247;228;266,6,3
41,221,221;246;260;269;187;40,221;246;269,6,3
42,225,225;256;220,225;256;220,3,3
43,277,277;0;101;105;136;229,277;229;257,6,3
44,262,262;255;219;40;136;176,262;255;219,6,3
45,245,245;175;234;239;45;71,245;239;234,6,3
46,250,250;237;230;222;261;274,250;237;230,6,3
47,223,223;236;109;20;111;202,223;261;236,6,3
48,251,251;253;20;111;202;203,251;278;253,6,3
49,276,276;254;270;0;20;101,276;270;254,6,3
50,248,248;258;20;111;202;203,248;275;258,6,3
